@aadmtwi,RT @My_Carta: awesome colormap comparisons on model and real data by @aadmtwi  #endrainbow https://t.co/Tp1Jts1MYW,http://twitter.com/aadmtwi/status/926916412064567296,"November 04, 2017 at 11:57AM"
@fcrameri,"https://t.co/ao6UBMMQyE
⭐️Novel set of truly scientific colour maps
@MATLAB , @ThePSF, #GMT, @qgis and @MathPolResearch @Kitware #endrainbow",http://twitter.com/fcrameri/status/928553852571455488,"November 08, 2017 at 11:24PM"
@BetterFigures,Theory: Rainbow colour scale is still popular because it does both categorisation and ordering (though imperfectly). #endrainbow,http://twitter.com/BetterFigures/status/930431693793759232,"November 14, 2017 at 03:46AM"
@BetterFigures,"Do any ""better"" colour scales do as well as Rainbow at both categorisation and ordering? #endrainbow",http://twitter.com/BetterFigures/status/930432028507598848,"November 14, 2017 at 03:47AM"
@dougmcneall,"RT @BetterFigures: Do any ""better"" colour scales do as well as Rainbow at both categorisation and ordering? #endrainbow",http://twitter.com/dougmcneall/status/930432122082512896,"November 14, 2017 at 03:47AM"
@ahhrenner,"oh, the colormap......... #firstthought #endrainbow https://t.co/e09SkCVEAI",http://twitter.com/ahhrenner/status/931190456062562304,"November 16, 2017 at 06:01AM"
@matthew_vdh,#endrainbow https://t.co/mdbbhm6Xdk,http://twitter.com/matthew_vdh/status/933076435073404928,"November 21, 2017 at 10:55AM"
@DSantosMunoz,¿Los mapas #meteo han de ser de colores? ¿Cuál es la mejor manera de representar los fenómenos naturals en un mapa? https://t.co/WwXsVsK3Ij #EndTheRainbow #endrainbow,http://twitter.com/DSantosMunoz/status/935441701501587456,"November 27, 2017 at 11:34PM"
@RetoStauffer2,#hclwizard shiny app now available via standard port:80 to avoid problems with firwalls/web filters. https://t.co/rMmh9EplyK #endrainbow https://t.co/Xxnt0adlJH,http://twitter.com/RetoStauffer2/status/935808832881782784,"November 28, 2017 at 11:53PM"
@MWClimateSci,What's your favorite non-rainbow color scale? Viridis? #endrainbow,http://twitter.com/MWClimateSci/status/936743267999162368,"December 01, 2017 at 01:46PM"
@markruddy,really looking forward to these data being fully available. #endrainbow though. https://t.co/Eii67lEyZi,http://twitter.com/markruddy/status/936857904107307008,"December 01, 2017 at 09:21PM"
@dougmcneall,"@ClimateSamwell @climategordon Looks great Sam, but #endrainbow",http://twitter.com/dougmcneall/status/938762075693830144,"December 07, 2017 at 03:28AM"
@kennethfield,Scary. Smoke isn't a rainbow #endrainbow https://t.co/aG2pAC0DBo,http://twitter.com/kennethfield/status/938925325160873984,"December 07, 2017 at 02:16PM"
@fcrameri,"StagLab Mira
https://t.co/Hz9eIfl38Q

#StagLab #endrainbow https://t.co/4Ip2q4A5Id",http://twitter.com/fcrameri/status/939055607658827776,"December 07, 2017 at 10:54PM"
@JoJakGeo,"RT @fcrameri: StagLab Mira
https://t.co/Hz9eIfl38Q

#StagLab #endrainbow https://t.co/4Ip2q4A5Id",http://twitter.com/JoJakGeo/status/939077882428772352,"December 08, 2017 at 12:23AM"
@spinokel,"RT @fcrameri: StagLab Mira
https://t.co/Hz9eIfl38Q

#StagLab #endrainbow https://t.co/4Ip2q4A5Id",http://twitter.com/spinokel/status/940252323095433216,"December 11, 2017 at 06:09AM"
@niallhrobinson,Francesca Samsel fighting the good #endrainbow fight at #AGU17 https://t.co/FwrMPZMAsC,http://twitter.com/niallhrobinson/status/940962606277328896,"December 13, 2017 at 05:12AM"
@rsimmon,Every year at #AGU17 there’s more @ColorBrewer &amp; less #endrainbow https://t.co/v2b1o70Ydl,http://twitter.com/rsimmon/status/940993801841184768,"December 13, 2017 at 07:16AM"
@c_thomsen,RT @rsimmon: Every year at #AGU17 there’s more @ColorBrewer &amp; less #endrainbow https://t.co/v2b1o70Ydl,http://twitter.com/c_thomsen/status/940995382640816128,"December 13, 2017 at 07:22AM"
@DavidHulslander,RT @rsimmon: Every year at #AGU17 there’s more @ColorBrewer &amp; less #endrainbow https://t.co/v2b1o70Ydl,http://twitter.com/DavidHulslander/status/941127336099045377,"December 13, 2017 at 04:06PM"
@zzsylvester,RT @rsimmon: Every year at #AGU17 there’s more @ColorBrewer &amp; less #endrainbow https://t.co/v2b1o70Ydl,http://twitter.com/zzsylvester/status/941129932314431488,"December 13, 2017 at 04:17PM"
@changliao1025,RT @rsimmon: Every year at #AGU17 there’s more @ColorBrewer &amp; less #endrainbow https://t.co/v2b1o70Ydl,http://twitter.com/changliao1025/status/941168752300871680,"December 13, 2017 at 06:51PM"
@JSaturno,"Today I will try to convince my group not to use the rainbow color map 😁
#dataviz #endrainbow https://t.co/EupjiJ06Qo",http://twitter.com/JSaturno/status/941206368610127872,"December 13, 2017 at 09:20PM"
@jscarto,"""This isn't a matter of taste, or opinion. We know — for sure, with science! — that the rainbow is a bad choice for #dataviz.""

Great post (with #python code) by @kwinkunks: https://t.co/L01DNwzt4o #endrainbow https://t.co/KwxEKQksa9",http://twitter.com/jscarto/status/941668877141934080,"December 15, 2017 at 03:58AM"
@markruddy,"Important piece of work upgrading UK estimates of shipping emissions. 
There's more than previously estimated and we have more spatial and vessel type detail on them.
PLUS check out my viridis!
#gis #postgis #rstats #endrainbow #climatechange https://t.co/d6q7AYaRim",http://twitter.com/markruddy/status/941691322347524096,"December 15, 2017 at 05:28AM"
@nigelhawtin,#endrainbow Great explanation https://t.co/Qax3ncxegN,http://twitter.com/nigelhawtin/status/941954715738353664,"December 15, 2017 at 10:54PM"
@leouieda,I wonder if even @kwinkunks @EvanBianco and @My_Carta would approve #endrainbow https://t.co/psnAE85wl6,http://twitter.com/leouieda/status/941976434054254592,"December 16, 2017 at 12:20AM"
@VariabilityBlog,@geolibraryucb @dougmcneall @ed_hawkins #endrainbow https://t.co/RuAiN8C4iR,http://twitter.com/VariabilityBlog/status/942365455301345281,"December 17, 2017 at 02:06AM"
@stephanenardin,"@jscarto :
""This isn't a matter of taste, or opinion. We know — for sure, with science! — that the rainbow is a bad choice for #dataviz.""
Great post (with #python code) by @kwinkunks: https://t.co/bAd9dYKUiI … #endrainbow https://t.co/43jM5oikCG",http://twitter.com/stephanenardin/status/942687092643106816,"December 17, 2017 at 11:24PM"
@VariabilityBlog,"We have known for years that rainbows help you see more detail, but are hard to read for part of your audience. #endrainbow

With hillshading and contours you can make avoiding rainbows suck less. https://t.co/NBkMoYUxK8",http://twitter.com/VariabilityBlog/status/943081317129969664,"December 19, 2017 at 01:31AM"
@_mattpriestley,#EndRainbow https://t.co/sM0HsoPrCa,http://twitter.com/_mattpriestley/status/943092353232973824,"December 19, 2017 at 02:15AM"
@RetoStauffer2,"A happy and comfy Christmas to everyone. Must be a horrible time for people with a red-green blindness, please keep these good people in mind next time you are producing figures and graphs! #endrainbow #hclwizard https://t.co/27DRFQfoDS",http://twitter.com/RetoStauffer2/status/944340771473326080,"December 22, 2017 at 12:55PM"
@maartenzam,"“If you care about your data and your readers, avoid rainbow-like colourmaps” https://t.co/AD2RtZgWvA By @kwinkunks #endrainbow https://t.co/3YO4CKI0s7",http://twitter.com/maartenzam/status/945767443779276800,"December 26, 2017 at 11:25AM"
@ruth_mottram,"An unfortunate conjunction in my timeline @metoffice!  @cricketcrocker 

#endrainbow https://t.co/lcZMTTgunI",http://twitter.com/ruth_mottram/status/951228277351436288,"January 10, 2018 at 01:04PM"
